Topic,Count,Name,Representation,Representative_Docs
-1,87046,-1_hospital_covid_stress_disease,"['hospital', 'covid', 'stress', 'disease', 'it', 'this', 'that', 'we', 'to', 'be']","[""But I think behind the question there's some concern that you're going to use this as a way to go by and start with some activation, and then you're going to get a quick treatment so you've become something completely different or something quite different from it."", ""I think it's clear that we have many political opportunities to take up a discussion, get data, and get what we want in the discussions here, but it's also, as it has been, changed times that call for a change of approach, as we're talking about and that we don't necessarily agree on what's going on."", ""We're just in that position right now, and it's my focus in this, in terms of the health system that we have a Hospital in an emergency because 200 people are in isolation-and that's where we come to this balance between restrictions and freedom-and then we have to man it.""]"
0,2179,0_european_europe_union_nato,"['european', 'europe', 'union', 'nato', 'eu', 'defence', 'alliance', 'eea', 'states', 'atlantic']","['How does the European Union respond?', 'But what about the European Union, if we were there, at the freedom of business in the European Union, among the countries there?', 'What has the European Union done with many countries?']"
1,1603,1_paritaprevir_son_ingi_daughter,"['paritaprevir', 'son', 'ingi', 'daughter', 'jóhannsson', 'thank', 'friðriksson', 'jónsson', 'helgadóttir', 'gunnarsdóttir']","[""In fact, I am deeply concerned about the possible effects, as the members of the Central Party discussed some details of this matter in 1st, and I heard very good talks from then on. paritaprevir Arndís Anna Kristínardóttir's daughter, Gunnarsdóttir's daughter. paritaprevir In the second discussion, consider the Eyjólfur of the Ármannsson's Son."", ""Thank you. paritaprevir Katrín Friðriksson's son for the questions."", 'Thank you. paritaprevir Jóhann Páll the son of Jóhannsson for his speech here.']"
2,1592,2_ukraine_russia_russian_putin,"['ukraine', 'russia', 'russian', 'putin', 'ukrainian', 'invasion', 'war', 'pútín', 'russians', 'military']","[""But to me it is quite clear that Ukraine has to work on Ukraine's terms."", 'It is my sense that for decades the European community has been no more of a subject than with this Russian invasion of Ukraine.', ""In fact, there is a before and after Putin's attack on Ukraine by Russia.""]"
3,1423,3_italy_italians_italian_brothers,"['italy', 'italians', 'italian', 'brothers', 'viva', 'europe', 'citizens', 'favour', 'families', 'our']","['The problem, however, and the question that we ask ourselves on behalf of the Italians is: what is the foreign policy of the Italian Government?', 'The Italians want a strong state that looks at the interests of Italy today and for the future.', 'In this sense the amendments of Brothers of Italy go.']"
4,1417,4_iceland_icelandic_icelanders_international,"['iceland', 'icelandic', 'icelanders', 'international', 'nations', 'national', 'involvement', 'cooperation', 'security', 'allied']","['What can a little Iceland do about this?', 'What does this say about the government of Iceland?', 'Also in Iceland, we need people.']"
5,1274,5_epidemic_covid_virus_pandemic,"['epidemic', 'covid', 'virus', 'pandemic', 'disease', 'hospital', '19', 'beginning', 'spread', 'consequences']","['But above all-truly dramatic-it is that we still record the greatest number of deaths today compared to the Covid epidemic.', ""I think there's a reason to remind us that although we're on the way out of the epidemic, the situation is that two weeks ago 332 million Covid virus was confirmed in the world, and not all, as we know."", ""Global development contributions adopted in 2020 following the Covid epidemic just to cope with the epidemic's consequences.""]"
6,1266,6_housing_rent_apartments_apartment,"['housing', 'rent', 'apartments', 'apartment', 'homes', 'tenants', 'prices', 'market', 'estate', 'rented']","['If we take a closer look at the position of those with the smallest amount of income and their housing security, I have to refer to the fact that we have been here making reforms of the housing market with the general housing system, building up, and at the lease by housing.', 'I believe that the procedure to take now is to increase the supply of housing to reduce housing prices.', ""This is the government's housing policy.""]"
7,1244,7_energy_electricity_exchange_renewable,"['energy', 'electricity', 'exchange', 'renewable', 'sources', 'efficiency', 'electrical', 'green', 'heat', 'demand']","['How much do we need in our energy exchange?', 'Of course, there is a clear interest in energy exchange, energy sector, but first and last public in the country.', ""We're here to talk about energy and energy policy.""]"
8,1024,8_bank_banks_banking_office,"['bank', 'banks', 'banking', 'office', 'sale', 'county', 'sales', 'collapse', 'sell', 'state']","['Therefore, special laws must be negotiated if a community bank, a state bank with the same tenant policy as any private bank is not a community bank.', 'They all know that there is no real competition between banks, and it will not change by selling one more bank.', 'Such laws require that the bank be a business bank, not an investment bank.']"
9,989,9_fishing_fish_coastal_marine,"['fishing', 'fish', 'coastal', 'marine', 'farms', 'farming', 'sea', 'beach', 'catch', 'fishermen']","['Coastal fishing with Icelanders do not threaten fish stocks.', 'It was talking about a fishing outside of the water, and it was a sea-fishing minister who came and gave an answer to them.', 'Coastal fishing is being limited here, which is not threatening the fish farm by hand fishing.']"
10,894,10_minister_ministers_ministry_highest,"['minister', 'ministers', 'ministry', 'highest', 'answer', 'he', 'his', 'answers', 'himself', 'satisfied']","['I ask a minister: What will he do about this matter?', 'What can we do as political people, the highest? Ministers?', ""But I'd like to ask the highest. Minister on what he's going to do.""]"
11,848,11_school_education_students_teachers,"['school', 'education', 'students', 'teachers', 'university', 'training', 'study', 'courses', 'schools', 'teaching']","['We believe a lot in education and school and we think that more must be invested in education and school, even in economic terms; we cannot intervene in school always on equal terms or even going down.', 'How important it is to have discussions with the school, the play-school system, and high school!', 'A study of high school education and the well-being of high school students has been conducted.']"
12,771,12_bill_bills_articles_think,"['bill', 'bills', 'articles', 'think', 'this', 'main', 'good', 'here', 'don', 'subject']","[""I think it's a very good bill and all."", ""This bill, what's it all about?"", ""That's what this bill is all about.""]"
13,760,13_financial_budget_program_policy,"['financial', 'budget', 'program', 'policy', 'budgets', 'next', 'plan', 'programme', 'year', 'programs']","['They are not part of this financial program.', ""We're here on the government financial policy."", 'That is the policy of this government under this financial program.']"
14,625,14_government_governments_trust_does,"['government', 'governments', 'trust', 'does', 'what', 'responsibility', 'do', 'best', 'political', 'seems']","['But what will the government do?', 'And what will the government do?', ""That's not what this government is all about.""]"
15,618,15_judiciary_magistrates_justice_judicial,"['judiciary', 'magistrates', 'justice', 'judicial', 'magistrate', 'judge', 'judges', 'court', 'trial', 'reform']","[""Let's start with the reform of the judiciary."", 'The magistrates must be the magistrates, also because, unfortunately, we live a chronic lack of the role of the judiciary.', 'Why do we need to reform the judiciary?']"
16,608,16_telecommunications_internet_communications_security,"['telecommunications', 'internet', 'communications', 'security', 'communication', 'telecommunication', 'network', 'phone', 'networks', 'attacks']","['If this is necessary, telecommunications companies and the Internet security team should make a contract for the installation and management of the technical monitoring services for the telecommunications company to identify the risks and signals of attacks, corruption and other sources of circumstances that could pose a threat to the security of the telecommunications company and the communications services of the communications company.', ""Then I'm going to deal with the Internet security team, as has been done in some answers: the safety of information, telecommunications and communications services."", ""It's Internet security, it's telecommunications.""]"
17,583,17_sport_sports_activity_psychophysical,"['sport', 'sports', 'activity', 'psychophysical', 'sporting', 'practice', 'constitution', 'educational', 'value', 'physical']","['We are not opposed to sport, but to the propaganda you have done about sport, to the fact that you do not invest in sport and instead-I repeat again-you forced our children to make swabs and vaccines to do sports even outdoors.', 'The value of sport why put it in the Constitution?', 'The Democratic Party has certainly put these issues-the educational value and social value of sport must be the first aspects to remember for sport in the Constitution-and it has as its priority cultural education to respect the other also through sports activity, which is fundamental.']"
18,575,18_senator_why_ask_question,"['senator', 'why', 'ask', 'question', 'what', 'senators', 'he', 'like', 'you', 'me']","['This is the first question for the senator.', ""That's a question. A senator is about."", ""I'd like to ask you what. A senator: If all of this is possible, why not?""]"
19,574,19_approves_annex_followed_senate,"['approves', 'annex', 'followed', 'senate', 'see', 'vote', 'was', 'the', 'count', 'votes']","['( The vote was followed) . The Senate approves. ( See Annex B) .', '( The vote was followed) . The Senate approves. ( See Annex B) .', '( The vote was followed) . The Senate approves. ( See Annex B) .']"
20,569,20_water_drought_irrigation_outflow,"['water', 'drought', 'irrigation', 'outflow', 'rivers', 'ecological', 'agriculture', 'river', 'cubic', 'resource']","[""Waters are expected to be in line with the government's policies on water protection, as shown in a water management programme."", 'Not to go back is also about the issue of the water crisis.', 'You have to choose: much less water for energy production, if this is the way-I think so-; much more water for irrigation use.']"
