Topic,Words,Frequency,Timestamp,Name
-1,"hospital, disease, stress, covid, epidemic",8740,2022-01-02 17:45:36,-1_hospital_covid_stress_disease
0,"european, europe, union, eu, eea",75,2022-01-02 17:45:36,0_european_europe_union_nato
1,"paritaprevir, friðriksson, son, ingi, thank",123,2022-01-02 17:45:36,1_paritaprevir_son_ingi_daughter
2,"blacklist, unwelcome, courageously, blatant, retaliation",1,2022-01-02 17:45:36,2_ukraine_russia_russian_putin
3,"italy, italians, brothers, viva, italian",26,2022-01-02 17:45:36,3_italy_italians_italian_brothers
4,"iceland, icelandic, board, icelanders, nuclear",154,2022-01-02 17:45:36,4_iceland_icelandic_icelanders_internati...
5,"epidemic, covid, virus, disease, pandemic",342,2022-01-02 17:45:36,5_epidemic_covid_virus_pandemic
6,"housing, apartments, rent, tenants, prices",148,2022-01-02 17:45:36,6_housing_rent_apartments_apartment
7,"energy, electricity, exchange, electrical, west",48,2022-01-02 17:45:36,7_energy_electricity_exchange_renewable
8,"bank, banks, manager, virus, reputation",28,2022-01-02 17:45:36,8_bank_banks_banking_office
9,"fishing, coastal, fish, beach, marine",75,2022-01-02 17:45:36,9_fishing_fish_coastal_marine
10,"minister, ministers, ministry, name, highest",127,2022-01-02 17:45:36,10_minister_ministers_ministry_highest
11,"school, education, students, study, university",89,2022-01-02 17:45:36,11_school_education_students_teachers
12,"bill, bills, mistake, epidemic, things",78,2022-01-02 17:45:36,12_bill_bills_articles_think
13,"financial, budget, program, policy, official",23,2022-01-02 17:45:36,13_financial_budget_program_policy
14,"government, governments, pissed, politicians, ball",79,2022-01-02 17:45:36,14_government_governments_trust_does
15,"judiciary, justice, magistrates, judicial, judge",165,2022-01-02 17:45:36,15_judiciary_magistrates_justice_judicia...
16,"telecommunications, communications, security, network, communication",22,2022-01-02 17:45:36,16_telecommunications_internet_communica...
17,"sports, sport, handball, basketball, games",31,2022-01-02 17:45:36,17_sport_sports_activity_psychophysical
18,"senator, why, senators, ask, asking",55,2022-01-02 17:45:36,18_senator_why_ask_question
19,"approves, annex, followed, senate, see",44,2022-01-02 17:45:36,19_approves_annex_followed_senate
20,"river, water, dried, grumbling, chills",9,2022-01-02 17:45:36,20_water_drought_irrigation_outflow
21,"tax, taxes, income, cassation, pay",36,2022-01-02 17:45:36,21_tax_taxes_income_taxation
22,"bank, iceland, secret, icelandic, banks",32,2022-01-02 17:45:36,22_bank_iceland_banks_sales
23,"refugees, humanitarianism, fleeing, refugee, 37th",14,2022-01-02 17:45:36,23_refugees_refugee_welcome_fleeing
24,"discussion, gonna, discuss, afterward, interesting",50,2022-01-02 17:45:36,24_discussion_discuss_conversation_inter...
25,"mental, health, hospital, psychiatric, services",63,2022-01-02 17:45:36,25_mental_health_hospital_services
26,"sale, investors, sales, sold, teags",16,2022-01-02 17:45:36,26_investors_sale_qualified_sold
27,"artists, stage, art, artist, music",30,2022-01-02 17:45:36,27_artists_art_artist_musicians
28,"council, here, members, disrespect, hall",76,2022-01-02 17:45:36,28_council_here_members_hall
29,"age, older, elderly, nursing, 70",86,2022-01-02 17:45:36,29_nursing_older_elderly_home
30,"median, kövesi, complimented, thank, route",6,2022-01-02 17:45:36,30_thank_rapporteurs_commission_mr
31,"madam, mr, president, speech, respectable",40,2022-01-02 17:45:36,31_mr_madam_president_speech
32,"pension, fund, pensions, pensioners, pensioner",33,2022-01-02 17:45:36,32_pension_fund_pensions_funds
33,"rural, society, communities, organizational, areas",45,2022-01-02 17:45:36,33_rural_society_communities_areas
34,"women, violence, feminicide, men, woman",36,2022-01-02 17:45:36,34_women_violence_men_perpetrators
35,"election, northwestern, electoral, elections, noodle",15,2022-01-02 17:45:36,35_election_elections_electoral_votes
36,"inflation, stress, rising, low, prices",27,2022-01-02 17:45:36,36_inflation_rising_growth_prices
37,"vaccination, vaccine, vaccines, covid, vaccinated",113,2022-01-02 17:45:36,37_vaccine_vaccination_covid_vaccines
38,"highest, minister, disease, finance, secretary",55,2022-01-02 17:45:36,38_highest_minister_secretary_finance
39,"explanation, speak, ask, vote, you",22,2022-01-02 17:45:36,39_explanation_speak_ask_vote
40,"disabled, disability, persons, impairment, convention",40,2022-01-02 17:45:36,40_disabled_disability_persons_impairmen...
41,"she, her, epidemic, totally, python",36,2022-01-02 17:45:36,41_she_her_herself_ll
42,"farmers, agriculture, miseries, vegetable, vegetables",8,2022-01-02 17:45:36,42_farmers_agriculture_agricultural_prod...
43,"law, laws, breaking, stiffness, lawgivers",42,2022-01-02 17:45:36,43_laws_law_these_breaking
44,"cars, vehicles, emissions, electric, car",43,2022-01-02 17:45:36,44_cars_electric_vehicles_car
45,"thank, senator, inquiry, want, you",55,2022-01-02 17:45:36,45_thank_senator_you_want
46,"draghi, vax, opponent, mario, beat",3,2022-01-02 17:45:36,46_draghi_president_your_mario
47,"hospital, land, hospitals, stress, management",55,2022-01-02 17:45:36,47_hospital_land_hospitals_management
48,"parliament, reinvigorates, monocameral, amstein, bowed",12,2022-01-02 17:45:36,48_parliament_parliamentary_parliamentar...
49,"climate, blah, climates, change, treaty",39,2022-01-02 17:45:36,49_climate_change_goals_climates
50,"independence, party, left, green, movement",29,2022-01-02 17:45:36,50_independence_party_left_green
51,"movimento, stars, star, movement, elevate",9,2022-01-02 17:45:36,51_movimento_stars_star_movement
52,"factorial, city, dagur, stratified, prowess",6,2022-01-02 17:45:36,52_municipalities_mayors_mayor_local
53,"disease, health, minister, highest, prevention",66,2022-01-02 17:45:36,53_health_disease_minister_highest
54,"transport, road, transportation, transporters, traffic",19,2022-01-02 17:45:36,54_transport_road_transportation_roads
55,"labour, labor, unions, employment, job",44,2022-01-02 17:45:36,55_labour_unions_labor_workers
56,"iceland, fossil, 2040, fuels, energy",18,2022-01-02 17:45:36,56_iceland_energy_climate_emissions
57,"decree, convert, conversion, 24, law",13,2022-01-02 17:45:36,57_decree_law_conversion_aid
58,"finance, secretary, highest, financial, fda",24,2022-01-02 17:45:36,58_finance_secretary_financial_highest
59,"czech, croatia, bulgaria, slovenia, latvia",2,2022-01-02 17:45:36,59_sweden_finland_nato_atlantic
60,"accountant, accounting, ags, hovering, employs",6,2022-01-02 17:45:36,60_accountant_accounting_state_research
61,"tourism, tourists, travel, snowball, tourist",22,2022-01-02 17:45:36,61_tourism_tourists_tourist_travel
62,"pnrr, municipalities, digitisation, commitment, delegated",16,2022-01-02 17:45:36,62_pnrr_reform_reforms_objectives
64,"committee, committees, external, study, stress",50,2022-01-02 17:45:36,64_committee_committees_study_opinion
65,"grass, smoke, illegal, doesn, nicotine",1,2022-01-02 17:45:36,65_nicotine_pads_smoking_products
66,"gay, queer, dawns, communicating, conducting",6,2022-01-02 17:45:36,66_queer_gay_people_rights
67,"cancer, disease, epidemic, bedsides, newport",5,2022-01-02 17:45:36,67_cancer_oncology_disease_screening
68,"media, radio, advertising, journalists, commercial",33,2022-01-02 17:45:36,68_media_radio_journalists_press
69,"transport, environment, committee, environmental, cheated",14,2022-01-02 17:45:36,69_transport_environment_committee_envir...
70,"hv, senator, disease, asks, glaciers",23,2022-01-02 17:45:36,70_hv_senator_asks_disease
71,"wage, pay, stress, salary, remuneration",13,2022-01-02 17:45:36,71_wage_salary_pay_remuneration
73,"withdrawn, amendment, amendments, g1, been",25,2022-01-02 17:45:36,73_withdrawn_amendments_amendment_17
74,"discrimination, race, ethnic, background, equal",49,2022-01-02 17:45:36,74_discrimination_race_ethnic_equal
75,"david, his, he, him, man",45,2022-01-02 17:45:36,75_his_he_him_man
76,"contracts, pay, dues, 2022, continuation",39,2022-01-02 17:45:36,76_contracts_172_contract_pay
77,"closed, debate, sp, az, psd",21,2022-01-02 17:45:36,77_closed_debate_fdi_president
78,"welfare, committee, worst, roadside, suggest",12,2022-01-02 17:45:36,78_welfare_committee_suggest_referred
79,"thank, thanking, minister, prime, your",30,2022-01-02 17:45:36,79_thank_thanking_minister_prime
80,"peace, calling, informed, reducing, re",2,2022-01-02 17:45:36,80_peace_diplomacy_diplomatic_war
81,"ship, ships, boats, crew, butler",22,2022-01-02 17:45:36,81_ships_ship_boat_sailors
82,"ballot, angrisani, tabled, simultaneous, refer",19,2022-01-02 17:45:36,82_ballot_tabled_simultaneous_refer
83,"police, officers, enforcement, penalties, authorities",29,2022-01-02 17:45:36,83_police_officers_enforcement_officer
84,"drugs, drug, addiction, abuse, addicts",87,2022-01-02 17:45:36,84_drugs_drug_addiction_abuse
85,"generals, disrespect, dream, generalis, southnesy",13,2022-01-02 17:45:36,85_generals_generalis_general_respect
86,"pipe, description, inside, clear, thank",1,2022-01-02 17:45:36,86_gas_russia_russian_dependence
87,"deadline, extended, application, extension, november",25,2022-01-02 17:45:36,87_deadline_extended_extension_2022
88,"respectable, president, dignified, mix, ideals",11,2022-01-02 17:45:36,88_respectable_president_dignified_yes
89,"prison, prisons, prisoners, prisoner, overcrowding",84,2022-01-02 17:45:36,89_prison_prisons_prisoners_prisoner
90,"suspend, sitting, suspension, resume, until",15,2022-01-02 17:45:36,90_suspend_sitting_resume_suspended
91,"directors, board, director, coordination, cooperation",19,2022-01-02 17:45:36,91_directors_director_board_management
92,"icelandic, food, production, agriculture, iceland",23,2022-01-02 17:45:36,92_food_icelandic_agriculture_production
93,"fireback, low, quirk, to20, increase",15,2022-01-02 17:45:36,93_percent_increase_ratio_60
94,"park, glaciers, parks, highlands, lake",13,2022-01-02 17:45:36,94_park_lake_parks_bay
95,"environmental, assessment, license, impact, fixering",13,2022-01-02 17:45:36,95_environmental_assessment_assessments_...
96,"forza, italia, moderately, favorable, belongs",3,2022-01-02 17:45:36,96_forza_italia_berlusconi_udc
97,"food, gainers, virtualness, initiating, impact",8,2022-01-02 17:45:36,97_food_production_security_covid
98,"ladder, democracy, top, direct, at",1,2022-01-02 17:45:36,98_democracy_democracies_dictatorships_d...
99,"alcohol, sleeping, arrangements, extensive, category",2,2022-01-02 17:45:36,99_alcohol_alcoholic_beer_liquor
100,"load, sardinia, fixed, say, way",1,2022-01-02 17:45:36,100_italy_energy_italian_gas
102,"measure, steps, measuring, idealessness, measures",13,2022-01-02 17:45:36,102_measure_measures_measuring_stress
103,"activation, whale, canyons, potent, options",6,2022-01-02 17:45:36,103_activation_activations_options_optio...
105,"sponsored, counter, thank, senator, em",9,2022-01-02 17:45:36,105_sponsored_counter_thank_senator
106,"security, social, system, 350, stigmas",17,2022-01-02 17:45:36,106_security_social_system_review
107,"thank, discussion, advocate, perturbing, you",26,2022-01-02 17:45:36,107_thank_discussion_want_you
108,"numbers, 800, recurrent, unaware, guarded",7,2022-01-02 17:45:36,108_numbers_statistics_average_number
109,"care, health, professionals, stress, medical",29,2022-01-02 17:45:36,109_care_health_professionals_doctors
110,"airport, flight, air, airports, unmanned",45,2022-01-02 17:45:36,110_airport_flight_air_airports
111,"marine, sea, inquirys, oceanographic, fictitious",5,2022-01-02 17:45:36,111_sea_marine_seabed_ocean
112,"changed, newer, counterclockwise, kaos, reinvented",23,2022-01-02 17:45:36,112_changed_gonna_turned_change
113,"draft, mas, dal, illustrated, ministries",4,2022-01-02 17:45:36,113_draft_law_deputies_consideration
114,"infrastructure, building, construction, brunning, eschar",12,2022-01-02 17:45:36,114_infrastructure_building_area_capital
115,"question, answers, questions, answer, answered",10,2022-01-02 17:45:36,115_question_answers_answer_questions
116,"child, authorities, unprepared, hospital, hallmarks",4,2022-01-02 17:45:36,116_child_welfare_protection_children
117,"waiting, list, lists, hospital, waitings",17,2022-01-02 17:45:36,117_waiting_list_lists_wait
118,"competitive, penniless, competition, venture, monopoly",6,2022-01-02 17:45:36,118_competition_consumers_market_interes...
119,"international, permit, protection, applying, applicants",6,2022-01-02 17:45:36,119_protection_international_candidates_...
120,"fish, fishing, stocks, coastal, updrafts",7,2022-01-02 17:45:36,120_fish_fishing_tuna_salmon
121,"absent, near, future, bees, honey",1,2022-01-02 17:45:36,121_bees_honey_beekeepers_beekeeping
122,"possible, ringlink, fix, picturing, option",18,2022-01-02 17:45:36,122_possible_done_easy_impossible
123,"abricultural, supplementation, supplements, carries, micro",2,2022-01-02 17:45:36,123_score_diet_nutri_labelling
124,"report, read, tips, reports, reviews",19,2022-01-02 17:45:36,124_report_reviews_reports_review
125,"tunnel, tunnels, bridge, sunway, spray",14,2022-01-02 17:45:36,125_tunnel_bridge_sunway_tunnels
