ID,sender_id,sender,receiver_id,receiver,date,language,keywords,word_count
L.1-1,https://gams.uni-graz.at/o:hsa.persons#P.1069,Baissac,https://gams.uni-graz.at/o:hsa.persons#P.109,Schuchardt,1885-01-20,fr,,17
L.1-2,https://gams.uni-graz.at/o:hsa.persons#P.1069,Baissac,https://gams.uni-graz.at/o:hsa.persons#P.109,Schuchardt,1885-01-20,fr,,31
L.3-1,https://gams.uni-graz.at/o:hsa.persons#P.1068,Bähr,https://gams.uni-graz.at/o:hsa.persons#P.109,Schuchardt,1924-04-22,de,"Revue de Linguistique Romane; Verlage; Euskaltzaindia - Real Academia de la Lengua Vasca - Académie de la Langue Basque; Kongresse und Versammlungen; Sociedad de Estudios Vascos; Nationalismus; Baskischsprachige Literatur; Revue internationale des études basques; Zeitschrift für romanische Philologie; Literaturblatt für germanische und romanische Philologie; Globus. Illustrierte Zeitschrift für Länder- und Völkerkunde; Gedicht; Euskara (Organ für die Interessen der ""Baskischen Gesellschaft"")",124
L.3-2-1,https://gams.uni-graz.at/o:hsa.persons#P.1068,Bähr,https://gams.uni-graz.at/o:hsa.persons#P.109,Schuchardt,1924-04-22,de,"Revue de Linguistique Romane; Verlage; Euskaltzaindia - Real Academia de la Lengua Vasca - Académie de la Langue Basque; Kongresse und Versammlungen; Sociedad de Estudios Vascos; Nationalismus; Baskischsprachige Literatur; Revue internationale des études basques; Zeitschrift für romanische Philologie; Literaturblatt für germanische und romanische Philologie; Globus. Illustrierte Zeitschrift für Länder- und Völkerkunde; Gedicht; Euskara (Organ für die Interessen der ""Baskischen Gesellschaft"")",511
L.3-2-2,https://gams.uni-graz.at/o:hsa.persons#P.1068,Bähr,https://gams.uni-graz.at/o:hsa.persons#P.109,Schuchardt,1924-04-22,de,"Revue de Linguistique Romane; Verlage; Euskaltzaindia - Real Academia de la Lengua Vasca - Académie de la Langue Basque; Kongresse und Versammlungen; Sociedad de Estudios Vascos; Nationalismus; Baskischsprachige Literatur; Revue internationale des études basques; Zeitschrift für romanische Philologie; Literaturblatt für germanische und romanische Philologie; Globus. Illustrierte Zeitschrift für Länder- und Völkerkunde; Gedicht; Euskara (Organ für die Interessen der ""Baskischen Gesellschaft"")",46
L.3-3,https://gams.uni-graz.at/o:hsa.persons#P.1068,Bähr,https://gams.uni-graz.at/o:hsa.persons#P.109,Schuchardt,1924-04-22,de,"Revue de Linguistique Romane; Verlage; Euskaltzaindia - Real Academia de la Lengua Vasca - Académie de la Langue Basque; Kongresse und Versammlungen; Sociedad de Estudios Vascos; Nationalismus; Baskischsprachige Literatur; Revue internationale des études basques; Zeitschrift für romanische Philologie; Literaturblatt für germanische und romanische Philologie; Globus. Illustrierte Zeitschrift für Länder- und Völkerkunde; Gedicht; Euskara (Organ für die Interessen der ""Baskischen Gesellschaft"")",246
L.3-4-1,https://gams.uni-graz.at/o:hsa.persons#P.1068,Bähr,https://gams.uni-graz.at/o:hsa.persons#P.109,Schuchardt,1924-04-22,de,"Revue de Linguistique Romane; Verlage; Euskaltzaindia - Real Academia de la Lengua Vasca - Académie de la Langue Basque; Kongresse und Versammlungen; Sociedad de Estudios Vascos; Nationalismus; Baskischsprachige Literatur; Revue internationale des études basques; Zeitschrift für romanische Philologie; Literaturblatt für germanische und romanische Philologie; Globus. Illustrierte Zeitschrift für Länder- und Völkerkunde; Gedicht; Euskara (Organ für die Interessen der ""Baskischen Gesellschaft"")",511
L.3-4-2,https://gams.uni-graz.at/o:hsa.persons#P.1068,Bähr,https://gams.uni-graz.at/o:hsa.persons#P.109,Schuchardt,1924-04-22,de,"Revue de Linguistique Romane; Verlage; Euskaltzaindia - Real Academia de la Lengua Vasca - Académie de la Langue Basque; Kongresse und Versammlungen; Sociedad de Estudios Vascos; Nationalismus; Baskischsprachige Literatur; Revue internationale des études basques; Zeitschrift für romanische Philologie; Literaturblatt für germanische und romanische Philologie; Globus. Illustrierte Zeitschrift für Länder- und Völkerkunde; Gedicht; Euskara (Organ für die Interessen der ""Baskischen Gesellschaft"")",511
L.3-4-3,https://gams.uni-graz.at/o:hsa.persons#P.1068,Bähr,https://gams.uni-graz.at/o:hsa.persons#P.109,Schuchardt,1924-04-22,de,"Revue de Linguistique Romane; Verlage; Euskaltzaindia - Real Academia de la Lengua Vasca - Académie de la Langue Basque; Kongresse und Versammlungen; Sociedad de Estudios Vascos; Nationalismus; Baskischsprachige Literatur; Revue internationale des études basques; Zeitschrift für romanische Philologie; Literaturblatt für germanische und romanische Philologie; Globus. Illustrierte Zeitschrift für Länder- und Völkerkunde; Gedicht; Euskara (Organ für die Interessen der ""Baskischen Gesellschaft"")",191
L.3-5,https://gams.uni-graz.at/o:hsa.persons#P.1068,Bähr,https://gams.uni-graz.at/o:hsa.persons#P.109,Schuchardt,1924-04-22,de,"Revue de Linguistique Romane; Verlage; Euskaltzaindia - Real Academia de la Lengua Vasca - Académie de la Langue Basque; Kongresse und Versammlungen; Sociedad de Estudios Vascos; Nationalismus; Baskischsprachige Literatur; Revue internationale des études basques; Zeitschrift für romanische Philologie; Literaturblatt für germanische und romanische Philologie; Globus. Illustrierte Zeitschrift für Länder- und Völkerkunde; Gedicht; Euskara (Organ für die Interessen der ""Baskischen Gesellschaft"")",226
